GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
Lineups,-1627741-1629048-1629052-1630169-1630537-,B. Hield - G. Bitadze - O. Brissett - T. Haliburton - C. Duarte,1610612754,IND,5,2,3,0.4,4.4,3.6,9.0,0.4,2.0,4.8,0.417,0.8,1.0,0.8,1.0,3.2,4.2,2.4,1.2,1.0,0.6,1.2,2.4,0.6,10.0,-1.0,1120,1646,15870,9083,2151,2801,1661,9232,813,1280,4852,7255,6537,4944,2281,2304,2309,2499,14280,1313,2899,16825,15681,10001,2424,10216
Lineups,-202954-203200-1627734-1627747-1628470-,B. Wanamaker - J. Holiday - D. Sabonis - C. LeVert - T. Craig,1610612754,IND,3,2,1,0.667,4.4,3.3,7.3,0.455,0.0,1.3,0.0,0.3,0.7,0.5,1.7,4.7,6.3,2.3,2.3,0.7,0.3,0.3,3.0,0.3,7.0,0.3,2316,1646,5744,6286,2217,3030,2743,7987,9008,8533,9008,8606,8407,7194,1633,1164,983,2528,16474,4368,4141,12606,15975,11189,4573,6774
Lineups,-2546-201566-201599-201961-202340-,C. Anthony - R. Westbrook - D. Jordan - W. Ellington - A. Bradley,1610612747,LAL,3,1,2,0.333,4.4,2.7,7.3,0.364,1.3,4.0,0.333,4.0,5.0,0.8,0.7,3.0,3.7,1.7,0.3,0.3,0.3,0.3,2.0,3.0,10.7,-0.3,2316,3401,13953,9264,2236,4798,2743,10387,2356,1455,5773,370,430,4944,5572,2344,3316,4823,7496,6157,4141,12606,13748,811,2302,9560
Lineups,-2546-201566-1626169-1629659-1630559-,C. Anthony - R. Westbrook - S. Johnson - T. Horton-Tucker - A. Reaves,1610612747,LAL,4,2,2,0.5,4.4,4.5,8.8,0.514,1.8,3.8,0.467,2.3,2.8,0.818,0.8,3.5,4.3,1.8,0.0,0.3,0.3,0.8,2.3,2.3,13.0,3.8,1571,1646,13953,7220,2149,1688,1987,4924,1858,2194,4414,1796,2183,4865,5408,2055,2279,4733,1,6718,4711,14663,15578,1866,1425,1778
Lineups,-201942-202696-1629744-1629750-1630245-,D. DeRozan - N. Vucevic - M. Thomas - J. Green - A. Dosunmu,1610612741,CHI,4,2,2,0.5,4.4,3.3,7.5,0.433,0.8,3.0,0.25,4.0,4.3,0.941,1.0,2.0,3.0,2.3,0.5,0.8,0.3,0.3,1.0,2.8,11.3,-0.3,1571,1646,13953,7220,2164,3103,2637,8548,6301,2566,7492,370,709,4087,2281,4501,3827,2625,7994,4210,4711,12244,7533,1525,2000,9484
Lineups,-201942-1628972-1629076-1629744-1630245-,D. DeRozan - T. Brown Jr. - T. Cook - M. Thomas - A. Dosunmu,1610612741,CHI,6,4,2,0.667,4.4,4.0,8.5,0.471,0.2,1.5,0.111,1.5,1.5,1.0,0.8,2.0,2.8,1.2,1.0,0.8,0.2,0.5,1.5,1.3,9.7,-0.7,822,591,13953,6286,2234,1868,2020,7670,8954,7868,8931,4044,5704,1,5307,4501,5454,6052,10086,4121,5133,13325,12827,4584,2811,10032
Lineups,-201942-202684-203897-1629750-1630245-,D. DeRozan - T. Thompson - Z. LaVine - J. Green - A. Dosunmu,1610612741,CHI,5,1,4,0.2,4.4,3.4,8.4,0.405,0.4,1.6,0.25,1.8,2.4,0.75,1.6,3.4,5.0,1.4,1.2,0.2,0.0,0.4,1.6,1.8,9.0,-1.0,1120,3401,16599,10078,2221,3009,2084,9221,8182,7816,7492,3772,2477,5392,1686,2200,1512,5636,14280,6980,5374,13146,13391,3631,2969,10216
Lineups,-201980-202699-203083-1627777-1627788-,D. Green - T. Harris - A. Drummond - G. Niang - F. Korkmaz,1610612755,PHI,3,1,2,0.333,4.4,5.0,7.7,0.652,1.3,2.7,0.5,0.7,0.7,1.0,0.7,2.7,3.3,2.3,1.7,0.7,0.0,0.3,1.0,0.7,12.0,1.3,2316,3401,13953,9264,2195,1160,2602,2854,2356,4047,2460,7460,8407,1,5572,3709,3629,2528,15024,4368,5374,12606,7533,9676,1690,4767
Lineups,-2730-201566-1628370-1629659-1630559-,D. Howard - R. Westbrook - M. Monk - T. Horton-Tucker - A. Reaves,1610612747,LAL,3,2,1,0.667,4.4,5.7,9.7,0.586,0.3,1.3,0.25,1.7,2.3,0.714,0.7,2.3,3.0,3.3,0.7,1.0,0.0,0.0,2.0,2.3,13.3,1.7,2316,1646,5744,6286,2199,1053,1543,3723,8291,8533,7492,3848,2506,6118,5572,4225,3827,1204,9344,1313,5374,1,13748,1799,1404,4398
Lineups,-201565-202692-203944-1629628-1630193-,D. Rose - A. Burks - J. Randle - R. Barrett - I. Quickley,1610612752,NYK,3,1,2,0.333,4.4,4.0,9.0,0.444,1.0,3.7,0.273,1.3,2.0,0.667,1.0,4.0,5.0,2.3,1.0,0.7,0.7,0.0,3.3,2.0,10.3,0.3,2316,3401,13953,9264,2199,1868,1661,8207,2653,2214,7402,4494,2672,6306,2281,1316,1512,2528,10086,4368,2663,1,16667,1946,2379,6774
