GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
Lineups,-202696-203095-203932-1628365-1628371-,N. Vucevic - E. Fournier - A. Gordon - M. Fultz - J. Isaac,1610612753,ORL,19,7,12,0.368,12.6,11.1,23.4,0.473,2.4,7.0,0.338,3.9,5.1,0.773,2.4,9.7,12.1,6.7,2.9,2.3,1.9,1.1,3.9,4.8,28.4,0.1,76,242,13754,7412,88,100,94,6007,534,266,4643,552,318,4279,422,103,97,131,13234,176,278,13367,13286,223,121,5522
Lineups,-203476-203496-203894-1626203-1629633-,G. Dieng - R. Covington - S. Napier - T. Graham - J. Culver,1610612750,MIN,1,0,1,0.0,12.5,9.0,22.0,0.409,3.0,9.0,0.333,2.0,2.0,1.0,3.0,4.0,7.0,5.0,6.0,5.0,2.0,2.0,7.0,4.0,23.0,-1.0,5956,8348,4331,8348,93,203,122,7295,207,114,4647,1458,2160,1,154,988,498,276,13767,3,70,13516,13753,279,249,8191
Lineups,-202710-203086-1628389-1629130-1629134-,J. Butler - M. Leonard - B. Adebayo - D. Robinson - K. Nunn,1610612748,MIA,39,28,11,0.718,12.5,10.9,21.5,0.505,3.7,8.2,0.445,3.7,4.5,0.813,1.8,9.6,11.4,7.3,3.4,1.8,0.8,1.2,3.9,4.6,29.1,3.1,6,3,13738,4782,91,120,139,3870,161,183,3599,573,492,3939,1124,106,129,79,13533,625,1874,13384,13287,235,106,1489
Lineups,-203087-203933-203960-204456-1626167-,J. Lamb - T. Warren - J. Sampson - T. McConnell - M. Turner,1610612754,IND,1,1,0,1.0,12.5,13.0,20.0,0.65,1.0,3.0,0.333,6.0,7.0,0.857,4.0,10.0,14.0,6.0,4.0,3.0,0.0,0.0,4.0,5.0,33.0,4.0,5956,3091,1,1,92,49,171,2234,1956,1757,4647,61,84,3523,54,70,53,162,13578,48,4536,1,13288,121,58,930
Lineups,-200746-201942-1626168-1628401-1629022-,L. Aldridge - D. DeRozan - T. Lyles - D. White - L. Walker IV,1610612759,SAS,1,0,1,0.0,12.5,9.0,25.0,0.36,5.0,14.0,0.357,9.0,9.0,1.0,3.0,13.0,16.0,4.0,2.0,2.0,0.0,2.0,3.0,5.0,32.0,10.0,5956,8348,4331,8348,94,203,66,8336,30,9,4546,10,25,1,154,15,15,476,12118,193,4536,13516,12655,121,67,70
Lineups,-201609-1627884-1628389-1629130-1629216-,G. Dragic - D. Jones Jr. - B. Adebayo - D. Robinson - G. Vincent,1610612748,MIA,1,0,1,0.0,12.4,12.0,27.0,0.444,3.0,13.0,0.231,6.0,8.0,0.75,5.0,11.0,16.0,8.0,2.0,4.0,1.0,0.0,6.0,9.0,33.0,11.0,5956,8348,4331,8348,96,71,42,6495,207,17,6497,61,47,4343,12,47,15,51,12118,13,418,1,13702,10,58,43
Lineups,-202331-202695-203090-1627826-1629611-,P. George - K. Leonard - M. Harkless - I. Zubac - T. Mann,1610612746,LAC,1,1,0,1.0,12.4,13.0,20.0,0.65,3.0,5.0,0.6,8.0,10.0,0.8,1.0,15.0,16.0,6.0,2.0,2.0,2.0,0.0,6.0,6.0,37.0,18.0,5956,3091,1,1,95,49,171,2234,207,617,1711,14,16,3984,1645,6,15,162,12118,193,70,1,13702,52,35,6
Lineups,-203078-203894-1628418-1629010-1629060-,B. Beal - S. Napier - T. Bryant - J. Robinson - R. Hachimura,1610612764,WAS,3,2,1,0.667,12.3,12.3,21.3,0.578,6.0,11.3,0.529,5.7,7.3,0.773,1.3,9.0,10.3,9.7,4.7,3.3,2.7,0.3,3.0,6.0,36.3,14.3,2278,1596,4331,4848,100,68,141,2967,11,42,1996,126,79,4280,1433,119,191,21,13704,42,56,9981,12655,52,41,16
Lineups,-1627747-1627789-1629058-1629066-1629651-,C. LeVert - T. Luwawu-Cabarrot - D. Musa - R. Kurucs - N. Claxton,1610612751,BKN,1,0,1,0.0,12.3,12.0,21.0,0.571,5.0,9.0,0.556,6.0,12.0,0.5,4.0,2.0,6.0,6.0,4.0,3.0,0.0,1.0,8.0,8.0,35.0,-2.0,5956,8348,4331,8348,101,71,148,2987,30,114,1912,61,9,5960,54,3443,736,162,13578,48,4536,11896,13777,14,47,9805
Lineups,-201571-203095-203920-203932-1628371-,D. Augustin - E. Fournier - K. Birch - A. Gordon - J. Isaac,1610612753,ORL,1,0,1,0.0,12.3,7.0,20.0,0.35,3.0,7.0,0.429,5.0,6.0,0.833,1.0,10.0,11.0,5.0,4.0,2.0,2.0,1.0,3.0,7.0,22.0,1.0,5956,8348,4331,8348,102,390,171,8429,207,266,3685,148,154,3668,1645,70,136,276,13578,193,70,11896,12655,29,277,3866
